background, person, image, K, BER, SNR
1, 1, 5, 4, 0.0, 7
1, 1, 5, 8, 0.08133119150719374, 1
1, 1, 5, 8, 0.04033384550914932, 2
1, 1, 5, 8, 0.016866880849280626, 3
1, 1, 5, 8, 0.007577874004749267, 4
1, 1, 5, 8, 0.00230479117195139, 5
1, 1, 5, 8, 0.0008031848023466964, 6
1, 1, 5, 8, 0.0001396843134515994, 7
1, 1, 5, 16, 0.08265819248498393, 1
1, 1, 5, 16, 0.03645760581086744, 2
1, 1, 5, 16, 0.011908087721748848, 3
1, 1, 5, 16, 0.002514317642128789, 4
1, 1, 5, 16, 0.0004888950970805978, 5
1, 1, 5, 16, 0.0, 6
1, 1, 5, 16, 0.0, 7
1, 1, 5, 32, 0.08925827629557201, 1
1, 1, 5, 32, 0.04134655678167342, 2
1, 1, 5, 32, 0.007438189691297667, 3
1, 1, 5, 32, 0.00017460539181449923, 4
1, 1, 5, 32, 0.0, 5
1, 1, 5, 32, 0.0, 6
1, 1, 5, 32, 0.0, 7
1, 1, 5, 64, 0.12777622572985053, 1
1, 1, 5, 64, 0.03390836709037575, 2
1, 1, 5, 64, 0.005622293616426875, 3
1, 1, 5, 64, 0.0011873166643385949, 4
1, 1, 5, 64, 0.0, 5
1, 1, 5, 64, 0.0, 6
1, 1, 5, 64, 0.0, 7
1, 1, 5, 128, 0.1416398938399218, 1
1, 1, 5, 128, 0.03656236904595614, 2
1, 1, 5, 128, 0.003771476463193183, 3
1, 1, 5, 128, 0.0004888950970805978, 4
1, 1, 5, 128, 0.0, 5
1, 1, 5, 128, 0.0, 6
1, 1, 5, 128, 0.0, 7
1, 2, 0, 1, 0.05622586357720455, 1
1, 2, 0, 1, 0.03759947940002987, 2
1, 2, 0, 1, 0.023176299899720497, 3
1, 2, 0, 1, 0.012636284111032878, 4
1, 2, 0, 1, 0.005936759905267874, 5
1, 2, 0, 1, 0.002272290853229213, 6
1, 2, 0, 1, 0.0007040901235358125, 7
1, 2, 0, 2, 0.07971687042608121, 1
1, 2, 0, 2, 0.053622863726557, 2
1, 2, 0, 2, 0.032809532953551386, 3
1, 2, 0, 2, 0.018487699758902472, 4
1, 2, 0, 2, 0.00859309991678935, 5
1, 2, 0, 2, 0.0034457743924555676, 6
1, 2, 0, 2, 0.0009441208474684759, 7
1, 2, 0, 4, 0.06278136934860995, 1
1, 2, 0, 4, 0.03340694275533935, 2
1, 2, 0, 4, 0.015041925366446905, 3
1, 2, 0, 4, 0.0055420427148008275, 4
1, 2, 0, 4, 0.0014561863918581578, 5
1, 2, 0, 4, 0.0003040389169813736, 6
1, 2, 0, 4, 3.200409652435512e-05, 7
1, 2, 0, 8, 0.08185047686103822, 1
1, 2, 0, 8, 0.04362691757878342, 2
1, 2, 0, 8, 0.01979453370031364, 3
1, 2, 0, 8, 0.007638311037146088, 4
1, 2, 0, 8, 0.0015255286009942606, 5
1, 2, 0, 8, 0.00011734835392263544, 6
1, 2, 0, 8, 5.867417696131772e-05, 7
1, 2, 0, 16, 0.08632571635836053, 1
1, 2, 0, 16, 0.040213147282852205, 2
1, 2, 0, 16, 0.01212955258273059, 3
1, 2, 0, 16, 0.0026136678828223344, 4
1, 2, 0, 16, 0.0005387356248266445, 5
1, 2, 0, 16, 0.00017068851479656063, 6
1, 2, 0, 16, 0.0, 7
1, 2, 0, 32, 0.1017463568670123, 1
1, 2, 0, 32, 0.038250229362691755, 2
1, 2, 0, 32, 0.009734579359491348, 3
1, 2, 0, 32, 0.0016908830997034287, 4
1, 2, 0, 32, 4.267212869914016e-05, 5
1, 2, 0, 32, 0.0, 6
1, 2, 0, 32, 0.0, 7
1, 2, 0, 64, 0.12017004843286608, 1
1, 2, 0, 64, 0.03463376645543963, 2
1, 2, 0, 64, 0.0053713542000042675, 3
1, 2, 0, 64, 0.0006560839787492799, 4
1, 2, 0, 64, 0.0, 5
1, 2, 0, 64, 0.0, 6
1, 2, 0, 64, 0.0, 7
1, 2, 0, 128, 0.13335573620090038, 1
1, 2, 0, 128, 0.030329215472913867, 2
1, 2, 0, 128, 0.0037711493737865114, 3
1, 2, 0, 128, 0.0, 4
1, 2, 0, 128, 0.0, 5
1, 2, 0, 128, 0.0, 6
1, 2, 0, 128, 0.0, 7
1, 2, 1, 1, 0.05625289026887759, 1
1, 2, 1, 1, 0.03696240998876924, 2
1, 2, 1, 1, 0.02243949703816256, 3
1, 2, 1, 1, 0.012717183061372796, 4
1, 2, 1, 1, 0.006138380568584704, 5
1, 2, 1, 1, 0.002378278390698289, 6
1, 2, 1, 1, 0.000803770011671181, 7
1, 2, 1, 2, 0.08037149589306555, 1
1, 2, 1, 2, 0.054061791195965735, 2
1, 2, 1, 2, 0.03445200502080994, 3
